epoch,loss,lr,val_loss
0,0.0010891043348237872,1e-04,0.0007667555473744869
1,0.0007875795708969235,1e-04,0.0007188262534327805
2,0.0007452431600540876,1e-04,0.0006808119942434132
3,0.0006928308284841478,1e-04,0.0006099367165006697
4,0.0006264238036237657,1e-04,0.0005120892310515046
5,0.0004988650907762349,1e-04,0.00036793536855839193
6,0.000402350997319445,1e-04,0.00030714922468177974
7,0.0003624401579145342,1e-04,0.0003072475956287235
8,0.00034438708098605275,1e-04,0.0002713146968744695
9,0.00032937474315986037,1e-04,0.0002648080699145794
10,0.00031844558543525636,1e-04,0.0002581993176136166
11,0.0003080141614191234,1e-04,0.0002548414922785014
12,0.00029740476747974753,1e-04,0.00024056649999693036
13,0.00028881028993055224,1e-04,0.00023437937488779426
14,0.00028524178196676075,1e-04,0.00022948041441850364
15,0.0002793287858366966,1e-04,0.00022700501722283661
16,0.0002714217407628894,1e-04,0.00022457618615590036
17,0.0002675384166650474,1e-04,0.00021931817173026502
18,0.0002624631451908499,1e-04,0.00022309785708785057
19,0.0002592408563941717,1e-04,0.00022369615908246487
